Cp       Points_0       Points_1       Points_2
-0.430051       0.5       0       1.25
-0.430912       0.499849       -0.0122706       1.25
-0.433373       0.499398       -0.0245338       1.25
-0.436448       0.498645       -0.0367823       1.25
-0.438629       0.497592       -0.0490086       1.25
-0.440409       0.49624       -0.0612053       1.25
-0.440699       0.494588       -0.0733652       1.25
-0.441372       0.492639       -0.085481       1.25
-0.444379       0.490393       -0.0975452       1.25
-0.447019       0.487851       -0.109551       1.25
-0.448595       0.485016       -0.12149       1.25
-0.449447       0.481888       -0.133356       1.25
-0.451951       0.47847       -0.145142       1.25
-0.454311       0.474764       -0.156841       1.25
-0.455597       0.470772       -0.168445       1.25
-0.456449       0.466496       -0.179948       1.25
-0.456559       0.46194       -0.191342       1.25
-0.457028       0.457105       -0.202621       1.25
-0.45759       0.451995       -0.213778       1.25
-0.458203       0.446612       -0.224806       1.25
-0.458808       0.440961       -0.235698       1.25
-0.459958       0.435043       -0.246449       1.25
-0.461815       0.428864       -0.257051       1.25
-0.462854       0.422427       -0.267499       1.25
-0.463203       0.415735       -0.277785       1.25
-0.463885       0.408792       -0.287904       1.25
-0.464566       0.401604       -0.29785       1.25
-0.465026       0.394173       -0.307616       1.25
-0.464524       0.386505       -0.317197       1.25
-0.464745       0.378604       -0.326586       1.25
-0.466023       0.370476       -0.335779       1.25
-0.468493       0.362124       -0.34477       1.25
-0.47196       0.353553       -0.353553       1.25
-0.473996       0.34477       -0.362124       1.25
-0.474924       0.335779       -0.370476       1.25
-0.477139       0.326586       -0.378604       1.25
-0.480674       0.317197       -0.386505       1.25
-0.484567       0.307616       -0.394173       1.25
-0.490504       0.29785       -0.401604       1.25
-0.498681       0.287904       -0.408792       1.25
-0.509865       0.277785       -0.415735       1.25
-0.525053       0.267499       -0.422427       1.25
-0.547882       0.257051       -0.428864       1.25
-0.579858       0.246449       -0.435043       1.25
-0.621869       0.235698       -0.440961       1.25
-0.678463       0.224806       -0.446612       1.25
-0.749487       0.213778       -0.451995       1.25
-0.827478       0.202621       -0.457105       1.25
-0.90472       0.191342       -0.46194       1.25
-0.981825       0.179947       -0.466496       1.25
-1.06446       0.168445       -0.470772       1.25
-1.15274       0.156841       -0.474764       1.25
-1.24538       0.145142       -0.47847       1.25
