Cp,Points_0,Points_1,Points_2
0.047156,-20,0,1.25
0.047156,-19.994,0.490824,1.25
0.047156,-19.994,-0.490824,1.25
0.047156,-19.9759,0.98135,1.25
0.047156,-19.9759,-0.98135,1.25
0.0464405,-19.9458,1.47129,1.25
0.047156,-19.9458,-1.47129,1.25
0.0464405,-19.9037,1.96034,1.25
0.047156,-19.9037,-1.96034,1.25
0.0464405,-19.8496,2.44821,1.25
0.047156,-19.8496,-2.44821,1.25
0.0464405,-19.7835,2.93461,1.25
0.047156,-19.7835,-2.93461,1.25
0.0464405,-19.7056,3.41924,1.25
0.047156,-19.7056,-3.41924,1.25
0.0460827,-19.6157,3.90181,1.25
0.047156,-19.6157,-3.90181,1.25
0.0460827,-19.514,4.38202,1.25
0.047156,-19.514,-4.38202,1.25
0.0457249,-19.4006,4.8596,1.25
0.047156,-19.4006,-4.8596,1.25
0.0457249,-19.2755,5.33425,1.25
0.0464405,-19.2755,-5.33425,1.25
0.0457249,-19.1388,5.80569,1.25
0.0457249,-19.1388,-5.80569,1.25
0.0457249,-18.9906,6.27363,1.25
0.0457249,-18.9906,-6.27363,1.25
0.0457249,-18.8309,6.7378,1.25
0.0457249,-18.8309,-6.7378,1.25
0.0450094,-18.6599,7.1979,1.25
0.0457249,-18.6599,-7.1979,1.25
0.0450094,-18.4776,7.65367,1.25
0.0457249,-18.4776,-7.65367,1.25
0.0450094,-18.2842,8.10482,1.25
0.0450094,-18.2842,-8.10482,1.25
0.0450094,-18.0798,8.5511,1.25
0.0450094,-18.0798,-8.5511,1.25
0.0450094,-17.8645,8.99223,1.25
0.0450094,-17.8645,-8.99223,1.25
0.0450094,-17.6384,9.42793,1.25
0.0442939,-17.6384,-9.42793,1.25
0.0450094,-17.4017,9.85796,1.25
0.0442939,-17.4017,-9.85796,1.25
0.0442939,-17.1546,10.2821,1.25
0.0442939,-17.1546,-10.2821,1.25
0.0442939,-16.8971,10.6999,1.25
0.0442939,-16.8971,-10.6999,1.25
0.0442939,-16.6294,11.1114,1.25
0.0442939,-16.6294,-11.1114,1.25
0.0435784,-16.3517,11.5162,1.25
0.0435784,-16.3517,-11.5162,1.25
0.0435784,-16.0642,11.914,1.25
0.0428799,-16.0642,-11.914,1.25
0.0435784,-15.7669,12.3046,1.25
0.0428799,-15.7669,-12.3046,1.25
0.0428799,-15.4602,12.6879,1.25
0.0428799,-15.4602,-12.6879,1.25
0.0428799,-15.1442,13.0635,1.25
0.0428799,-15.1442,-13.0635,1.25
0.0428799,-14.819,13.4312,1.25
0.0428799,-14.819,-13.4312,1.25
0.0421644,-14.4849,13.7908,1.25
0.0428799,-14.4849,-13.7908,1.25
0.0414489,-14.1421,14.1421,1.25
0.0421644,-14.1421,-14.1421,1.25
0.0414489,-13.7908,14.4849,1.25
0.0414489,-13.7908,-14.4849,1.25
0.0414489,-13.4312,14.819,1.25
0.0414489,-13.4312,-14.819,1.25
0.0407334,-13.0635,15.1442,1.25
0.0414489,-13.0635,-15.1442,1.25
0.0400178,-12.6879,15.4602,1.25
0.0414489,-12.6879,-15.4602,1.25
0.0400178,-12.3046,15.7669,1.25
0.0414489,-12.3046,-15.7669,1.25
0.0400178,-11.914,16.0641,1.25
0.0410911,-11.914,-16.0641,1.25
0.0393023,-11.5162,16.3517,1.25
0.0403756,-11.5162,-16.3517,1.25
0.0393023,-11.1114,16.6294,1.25
0.0400178,-11.1114,-16.6294,1.25
0.0393023,-10.7,16.8971,1.25
0.0400178,-10.7,-16.8971,1.25
0.0385868,-10.2821,17.1546,1.25
0.0400178,-10.2821,-17.1546,1.25
0.0378713,-9.85796,17.4017,1.25
0.0393023,-9.85796,-17.4017,1.25
0.0378713,-9.42794,17.6384,1.25
0.0385868,-9.42794,-17.6384,1.25
0.0378713,-8.99223,17.8645,1.25
0.0385868,-8.99223,-17.8645,1.25
0.0371558,-8.5511,18.0798,1.25
0.0385868,-8.5511,-18.0798,1.25
0.0371558,-8.10483,18.2842,1.25
0.0385868,-8.10483,-18.2842,1.25
0.0371558,-7.65367,18.4776,1.25
0.0385868,-7.65367,-18.4776,1.25
0.0364403,-7.1979,18.6599,1.25
0.0378713,-7.1979,-18.6599,1.25
0.0357247,-6.7378,18.8309,1.25
0.0371558,-6.7378,-18.8309,1.25
0.0357247,-6.27363,18.9906,1.25
0.0371558,-6.27363,-18.9906,1.25
0.0357247,-5.80569,19.1388,1.25
0.0371558,-5.80569,-19.1388,1.25
0.0357247,-5.33426,19.2755,1.25
0.0364403,-5.33426,-19.2755,1.25
0.0357247,-4.8596,19.4006,1.25
0.0357247,-4.8596,-19.4006,1.25
0.0357247,-4.38203,19.514,1.25
0.0357247,-4.38203,-19.514,1.25
0.0350092,-3.90181,19.6157,1.25
0.0357247,-3.90181,-19.6157,1.25
0.0350092,-3.41924,19.7056,1.25
0.0357247,-3.41924,-19.7056,1.25
0.0350092,-2.93461,19.7835,1.25
0.0350092,-2.93461,-19.7835,1.25
0.0350092,-2.44821,19.8496,1.25
0.0350092,-2.44821,-19.8496,1.25
0.0350092,-1.96034,19.9037,1.25
0.0350092,-1.96034,-19.9037,1.25
0.0350092,-1.47129,19.9458,1.25
0.0350092,-1.47129,-19.9458,1.25
0.0350092,-0.981355,19.9759,1.25
0.0350092,-0.981355,-19.9759,1.25
1.01787,-0.5,0,1.25
1.00322,-0.499849,-0.0122706,1.25
1.01573,-0.499849,0.0122706,1.25
0.996085,-0.499398,-0.0245337,1.25
0.995369,-0.499398,0.0245337,1.25
0.983938,-0.498645,-0.0367822,1.25
0.982507,-0.498645,0.0367822,1.25
0.970002,-0.497592,-0.0490085,1.25
0.967856,-0.497592,0.0490085,1.25
0.953563,-0.49624,-0.0612053,1.25
0.951416,-0.49624,0.0612053,1.25
0.936066,-0.494588,-0.0733652,1.25
0.931773,-0.494588,0.0733652,1.25
0.914618,-0.492639,-0.0854809,1.25
0.908553,-0.492639,0.0854809,1.25
0.0350092,-0.490824,19.994,1.25
0.0357247,-0.490824,-19.994,1.25
0.888178,-0.490393,-0.0975452,1.25
0.879967,-0.490393,0.0975452,1.25
0.856389,-0.487851,-0.109551,1.25
0.847445,-0.487851,0.109551,1.25
0.820306,-0.485016,-0.12149,1.25
0.810306,-0.485016,0.12149,1.25
0.77993,-0.481888,-0.133356,1.25
0.768499,-0.481888,0.133356,1.25
0.734904,-0.47847,-0.145142,1.25
0.722059,-0.47847,0.145142,1.25
0.685601,-0.474764,-0.156841,1.25
0.672024,-0.474764,0.156841,1.25
0.632381,-0.470772,-0.168445,1.25
0.61807,-0.470772,0.168445,1.25
0.575565,-0.466496,-0.179948,1.25
0.560199,-0.466496,0.179948,1.25
0.515189,-0.46194,-0.191342,1.25
0.498749,-0.46194,0.191342,1.25
0.451236,-0.457105,-0.202621,1.25
0.43374,-0.457105,0.202621,1.25
0.384062,-0.451995,-0.213778,1.25
0.365851,-0.451995,0.213778,1.25
0.313686,-0.446612,-0.224806,1.25
0.295474,-0.446612,0.224806,1.25
0.241163,-0.440961,-0.235698,1.25
0.221878,-0.440961,0.235698,1.25
0.166136,-0.435044,-0.246449,1.25
0.146136,-0.435044,0.246449,1.25
0.0882471,-0.428864,-0.257051,1.25
0.0678719,-0.428864,0.257051,1.25
0.00824548,-0.422427,-0.267499,1.25
-0.0126152,-0.422427,0.267499,1.25
-0.073349,-0.415735,-0.277785,1.25
-0.0944993,-0.415735,0.277785,1.25
-0.156519,-0.408792,-0.287904,1.25
-0.178138,-0.408792,0.287904,1.25
-0.241231,-0.401604,-0.29785,1.25
-0.263242,-0.401604,0.29785,1.25
-0.327008,-0.394173,-0.307616,1.25
-0.349377,-0.394173,0.307616,1.25
-0.413688,-0.386505,-0.317197,1.25
-0.436372,-0.386505,0.317197,1.25
-0.50093,-0.378604,-0.326586,1.25
-0.523903,-0.378604,0.326586,1.25
-0.588751,-0.370476,-0.335779,1.25
-0.612005,-0.370476,0.335779,1.25
-0.676675,-0.362124,-0.34477,1.25
-0.700218,-0.362124,0.34477,1.25
-0.76424,-0.353553,-0.353553,1.25
-0.787972,-0.353553,0.353553,1.25
-0.851772,-0.34477,-0.362123,1.25
-0.875673,-0.34477,0.362123,1.25
-0.938877,-0.33578,-0.370476,1.25
-0.962847,-0.33578,0.370476,1.25
-1.0247,-0.326586,-0.378604,1.25
-1.04871,-0.326586,0.378604,1.25
-1.10966,-0.317197,-0.386505,1.25
-1.1337,-0.317197,0.386505,1.25
-1.19336,-0.307616,-0.394173,1.25
-1.21738,-0.307616,0.394173,1.25
-1.27543,-0.29785,-0.401604,1.25
-1.29929,-0.29785,0.401604,1.25
-1.35546,-0.287904,-0.408792,1.25
-1.37922,-0.287904,0.408792,1.25
-1.43371,-0.277785,-0.415735,1.25
-1.45729,-0.277785,0.415735,1.25
-1.50962,-0.267499,-0.422427,1.25
-1.53292,-0.267499,0.422427,1.25
-1.58272,-0.257051,-0.428864,1.25
-1.60565,-0.257051,0.428864,1.25
-1.65346,-0.246449,-0.435044,1.25
-1.676,-0.246449,0.435044,1.25
-1.72095,-0.235698,-0.440961,1.25
-1.74299,-0.235698,0.440961,1.25
-1.78526,-0.224806,-0.446612,1.25
-1.80673,-0.224806,0.446612,1.25
-1.84639,-0.213778,-0.451995,1.25
-1.86718,-0.213778,0.451995,1.25
-1.90362,-0.202621,-0.457105,1.25
-1.92374,-0.202621,0.457105,1.25
-1.957,-0.191342,-0.46194,1.25
-1.97629,-0.191342,0.46194,1.25
-2.00631,-0.179948,-0.466496,1.25
-2.02467,-0.179948,0.466496,1.25
-2.0515,-0.168445,-0.470772,1.25
-2.06883,-0.168445,0.470772,1.25
-2.09227,-0.156841,-0.474764,1.25
-2.10848,-0.156841,0.474764,1.25
-2.12828,-0.145142,-0.47847,1.25
-2.14331,-0.145142,0.47847,1.25
-2.15969,-0.133356,-0.481888,1.25
-2.1734,-0.133356,0.481888,1.25
-2.18619,-0.12149,-0.485016,1.25
-2.19852,-0.12149,0.485016,1.25
-2.20734,-0.109551,-0.487851,1.25
-2.21824,-0.109551,0.487851,1.25
-2.22338,-0.0975452,-0.490393,1.25
-2.23267,-0.0975452,0.490393,1.25
-2.23389,-0.085481,-0.492639,1.25
-2.24146,-0.085481,0.492639,1.25
-2.23871,-0.0733653,-0.494588,1.25
-2.24446,-0.0733653,0.494588,1.25
-2.23807,-0.0612054,-0.49624,1.25
-2.24193,-0.0612054,0.49624,1.25
-2.2312,-0.0490086,-0.497592,1.25
-2.23307,-0.0490086,0.497592,1.25
-2.21853,-0.0367823,-0.498645,1.25
-2.21835,-0.0367823,0.498645,1.25
-2.19977,-0.0245339,-0.499398,1.25
-2.19745,-0.0245339,0.499398,1.25
-2.17429,-0.0122706,-0.499849,1.25
-2.16983,-0.0122706,0.499849,1.25
0.035367,-8.74228e-07,20,1.25
0.0364403,-8.74228e-07,-20,1.25
-2.14253,-2.18557e-08,-0.5,1.25
-2.13582,-2.18557e-08,0.5,1.25
-2.10402,0.0122706,-0.499849,1.25
-2.09508,0.0122706,0.499849,1.25
-2.05875,0.0245338,-0.499398,1.25
-2.04772,0.0245338,0.499398,1.25
-2.00605,0.0367822,-0.498645,1.25
-1.99309,0.0367822,0.498645,1.25
-1.94607,0.0490086,-0.497592,1.25
-1.93132,0.0490086,0.497592,1.25
-1.87873,0.0612053,-0.49624,1.25
-1.86243,0.0612053,0.49624,1.25
-1.80341,0.0733652,-0.494588,1.25
-1.78576,0.0733652,0.494588,1.25
-1.72106,0.0854809,-0.492639,1.25
-1.70169,0.0854809,0.492639,1.25
-1.63281,0.0975451,-0.490393,1.25
-1.61016,0.0975451,0.490393,1.25
-1.53867,0.109551,-0.487851,1.25
-1.51173,0.109551,0.487851,1.25
-1.43746,0.12149,-0.485016,1.25
-1.40776,0.12149,0.485016,1.25
-1.33185,0.133356,-0.481888,1.25
-1.29858,0.133356,0.481888,1.25
-1.22755,0.145142,-0.47847,1.25
-1.18679,0.145142,0.47847,1.25
-1.12766,0.156841,-0.474764,1.25
-1.08033,0.156841,0.474764,1.25
-1.03173,0.168445,-0.470772,1.25
-0.983359,0.168445,0.470772,1.25
-0.939772,0.179947,-0.466496,1.25
-0.892795,0.179947,0.466496,1.25
-0.856491,0.191342,-0.46194,1.25
-0.808006,0.191342,0.46194,1.25
-0.784394,0.202621,-0.457105,1.25
-0.736233,0.202621,0.457105,1.25
-0.715585,0.213778,-0.451995,1.25
-0.684963,0.213778,0.451995,1.25
-0.651734,0.224806,-0.446612,1.25
-0.649809,0.224806,0.446612,1.25
-0.601792,0.235698,-0.440961,1.25
-0.623871,0.235698,0.440961,1.25
-0.564458,0.246449,-0.435043,1.25
-0.600114,0.246449,0.435043,1.25
-0.53634,0.257051,-0.428864,1.25
-0.578529,0.257051,0.428864,1.25
-0.516399,0.267499,-0.422427,1.25
-0.564492,0.267499,0.422427,1.25
-0.502506,0.277785,-0.415735,1.25
-0.557268,0.277785,0.415735,1.25
-0.491892,0.287904,-0.408792,1.25
-0.554134,0.287904,0.408792,1.25
-0.483638,0.29785,-0.401604,1.25
-0.549304,0.29785,0.401604,1.25
-0.477318,0.307616,-0.394173,1.25
-0.540232,0.307616,0.394173,1.25
-0.473136,0.317197,-0.386505,1.25
-0.529295,0.317197,0.386505,1.25
-0.469745,0.326586,-0.378604,1.25
-0.518792,0.326586,0.378604,1.25
-0.467522,0.335779,-0.370476,1.25
-0.510973,0.335779,0.370476,1.25
-0.466202,0.34477,-0.362124,1.25
-0.505939,0.34477,0.362124,1.25
-0.464277,0.353553,-0.353553,1.25
-0.500436,0.353553,0.353553,1.25
-0.461057,0.362124,-0.34477,1.25
-0.494141,0.362124,0.34477,1.25
-0.458697,0.370476,-0.335779,1.25
-0.488783,0.370476,0.335779,1.25
-0.458135,0.378604,-0.326586,1.25
-0.484746,0.378604,0.326586,1.25
-0.458885,0.386505,-0.317197,1.25
-0.481279,0.386505,0.317197,1.25
-0.460665,0.394173,-0.307616,1.25
-0.477599,0.394173,0.307616,1.25
-0.46156,0.401604,-0.29785,1.25
-0.47374,0.401604,0.29785,1.25
-0.461849,0.408792,-0.287904,1.25
-0.47196,0.408792,0.287904,1.25
-0.462096,0.415735,-0.277785,1.25
-0.47156,0.415735,0.277785,1.25
-0.46213,0.422427,-0.267499,1.25
-0.47081,0.422427,0.267499,1.25
-0.461202,0.428864,-0.257051,1.25
-0.469669,0.428864,0.257051,1.25
-0.459421,0.435043,-0.246449,1.25
-0.468629,0.435043,0.246449,1.25
-0.457948,0.440961,-0.235698,1.25
-0.467991,0.440961,0.235698,1.25
-0.456628,0.446612,-0.224806,1.25
-0.467812,0.446612,0.224806,1.25
-0.455018,0.451995,-0.213778,1.25
-0.467488,0.451995,0.213778,1.25
-0.453161,0.457105,-0.202621,1.25
-0.466457,0.457105,0.202621,1.25
-0.45098,0.46194,-0.191342,1.25
-0.465137,0.46194,0.191342,1.25
-0.448774,0.466496,-0.179948,1.25
-0.463638,0.466496,0.179948,1.25
-0.445954,0.470772,-0.168445,1.25
-0.462173,0.470772,0.168445,1.25
-0.44259,0.474764,-0.156841,1.25
-0.460137,0.474764,0.156841,1.25
-0.43805,0.47847,-0.145142,1.25
-0.457207,0.47847,0.145142,1.25
-0.433731,0.481888,-0.133356,1.25
-0.453203,0.481888,0.133356,1.25
